",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
224316_at,0.684497507696587,7.42501113730431,6.03668702341221,4.19838793954108e-06,0.147585554988984,3.87698504984532,NA
"203599_s_at,0.740894298150639,8.19836150745827,5.91207663974846,5.63119795407248e-06,0.147585554988984,3.63960075309016,""WBP4"""
213658_at,0.906326507940359,7.00517319383225,5.52031465601075,1.43233319302335e-05,0.147585554988984,2.87826784549137,NA
"220004_at,1.73823197837485,5.10629980713417,5.42268059870174,1.81163303316592e-05,0.147585554988984,2.68520755396093,""DDX43"""
"1555826_at,-1.02528710443787,6.7417573649882,-5.36925279339409,2.06087717603971e-05,0.147585554988984,2.57903804022449,""BIRC5"""
"215887_at,-0.615934922589633,7.49465019382295,-5.35082013914008,2.15471462399856e-05,0.147585554988984,2.54232601341821,""ZNF277"""
"217753_s_at,-0.738405352153006,11.3492294757837,-5.31742873251176,2.33588252701465e-05,0.147585554988984,2.4757138019408,""RPS26"""
"229222_at,1.30929403598937,6.76446823353608,5.30725804125106,2.39407622045662e-05,0.147585554988984,2.45539726427943,""ACSS3"""
"207528_s_at,-0.990722402290621,4.03133605083201,-5.26301267727626,2.66483359829171e-05,0.147585554988984,2.36686957356583,""SLC7A11"""
"204063_s_at,0.567228212667048,7.51574004294687,5.23186458178794,2.87386880664096e-05,0.147585554988984,2.30440815133996,""ULK2"""
"227724_at,-0.895277084218383,8.20405429122987,-5.21840588647244,2.9692567075973e-05,0.147585554988984,2.27738439072878,""NUTM2A-AS1"""
"212690_at,0.551638053937289,9.08072404398617,5.16501060174231,3.38036848534844e-05,0.154018039113688,2.16996798375946,""DDHD2"""
"207147_at,-2.72609664035127,6.92230042560687,-5.03373513101822,4.65349807801422e-05,0.162055736117374,1.90455351515176,""DLX2"""
"218823_s_at,0.651353586258388,8.48984981835031,5.03307163150011,4.66103498412879e-05,0.162055736117374,1.90320746752958,""KCTD9"""
"229454_at,0.779537047280258,6.83834975810423,5.02434563206162,4.761311684948e-05,0.162055736117374,1.88550082288423,""BCLAF1"""
"235561_at,1.18189981160522,6.63750732534843,5.01143786450722,4.91365471162786e-05,0.162055736117374,1.85929462191677,""TXNL1"""
"231011_at,-0.61997188377846,5.80209045638316,-4.96604700454304,5.48956242137622e-05,0.162055736117374,1.76700903410414,""LARP1B"""
"227695_at,-1.6002887489291,6.62907992532719,-4.95557976569402,5.63176517652959e-05,0.162055736117374,1.7456995893266,""GLYATL1"""
"228905_at,0.85632656704518,7.54836362435659,4.93658136935685,5.89943539906101e-05,0.162055736117374,1.70699584671087,""PCM1"""
"231780_at,0.665833161762142,4.73072118381868,4.93460796564466,5.92796474137627e-05,0.162055736117374,1.7029736761576,""GBGT1"""
"238657_at,1.19457776463618,4.91729081315149,4.90083185681629,6.43842301478926e-05,0.163146684392519,1.63407621030792,""UBXN10"""
231034_s_at,-0.704856806168443,5.50615913505553,-4.88723560650612,6.6562157357547e-05,0.163146684392519,1.60631313764394,NA
"220390_at,0.77062853769077,5.07107199616317,4.86671201051384,6.99913017822314e-05,0.163146684392519,1.56437379322159,""AGBL2"""
"203604_at,1.09633849745269,8.57788623867717,4.85734828381343,7.16144567978135e-05,0.163146684392519,1.54522715099827,""ZNF516"""
239277_at,0.582438402520802,9.34869202864081,4.83745236906577,7.51903950550714e-05,0.163723772374613,1.5045198068747,NA
"1569681_at,-1.08813896014636,4.34236132072937,-4.78363975118782,8.57900814033281e-05,0.163723772374613,1.39425440448833,""LINC01876"""
"244667_at,-3.69955498521448,8.1233661635199,-4.77768650542376,8.70515737524066e-05,0.163723772374613,1.38204157941555,""ARLNC1"""
