"ID,""Description"",""GeneRatio"",""BgRatio"",""RichFactor"",""FoldEnrichment"",""zScore"",""pvalue"",""p.adjust"",""qvalue"",""geneID"",""Count"""
"GO:0003012,""muscle system process"",""98/1653"",""485/18860"",0.202061855670103,2.30543653837758,9.02726387125395,2.34920094539892e-15,1.34350802067364e-11,1.12835830672161e-11,""5465/55959/408/800/7168/4638/7169/23336/7871/114907/857/4629/5144/10611/148/54795/9475/5058/4660/1837/801/93649/6332/1908/152/57158/23327/493/775/9215/1264/3778/11280/6546/2775/2628/2316/6769/1756/4636/477/25802/2257/1674/274/51676/10398/23493/10335/5350/140628/5997/8082/26509/2146/5592/10052/818/3760/1136/6326/781/4089/2308/124093/776/59/3764/3673/2309/5286/2982/816/7171/309/6865/4211/32/6444/6833/6330/287/2946/3488/5578/219931/5733/1909/3572/8912/3757/6525/5028/1291/2934/6442/23704/7124"",98"
"GO:0031589,""cell-substrate adhesion"",""78/1653"",""369/18860"",0.211382113821138,2.41177656785642,8.48871847919983,1.5298730370288e-13,4.37467194938384e-10,3.67411087787495e-10,""11037/6251/7414/2047/55742/673/90102/10979/10580/11149/4811/5747/284/3204/23189/9475/10630/8613/8829/81848/9358/3696/811/5295/23603/7264/3694/2316/55966/2824/5340/1029/8573/87/3678/9200/613/5212/2042/83700/596/4739/1308/25890/84962/8322/84168/8324/3680/8910/3690/1305/9480/30008/2294/11117/2633/4059/79625/3673/302/133584/7205/11170/3679/146183/55679/1845/29780/10018/3672/3912/6385/2192/6237/10174/558/10391"",78"
"GO:0006936,""muscle contraction"",""75/1653"",""372/18860"",0.201612903225806,2.30031418925512,7.85087356099657,5.33279029196038e-12,1.01660758932405e-08,8.53807793060184e-09,""55959/800/7168/4638/7169/23336/7871/857/4629/5144/148/54795/9475/4660/1837/801/93649/6332/1908/152/57158/23327/493/775/9215/1264/3778/11280/6546/2775/2316/6769/1756/4636/477/25802/2257/1674/274/10398/10335/5350/5997/8082/26509/5592/10052/3760/1136/6326/781/124093/776/59/3764/3673/5286/2982/7171/309/6865/6444/6330/287/2946/219931/5733/1909/8912/3757/6525/2934/6442/23704/7124"",75"
"GO:0042692,""muscle cell differentiation"",""82/1653"",""441/18860"",0.1859410430839,2.12150518606313,7.38636448971253,4.2575049035095e-11,6.08716763579271e-08,5.11236707229312e-08,""5465/6443/113622/1465/64091/858/11149/7168/4811/55909/4629/4204/10611/148/5058/3192/9474/5239/1073/93649/80206/811/93166/9215/2318/57462/6546/1048/10938/1756/87/4775/25802/274/51177/51676/10398/596/23493/10290/348093/5997/2146/5592/8324/51804/84525/170689/4773/4089/168620/11155/30008/2294/9444/1466/3764/50507/10529/3280/11096/23345/84033/9518/80000/4211/6444/287/983/2254/4776/650/3488/2263/1909/3912/1827/30846/8912/55544/1291/55897"",82"
"GO:0055001,""muscle cell development"",""48/1653"",""206/18860"",0.233009708737864,2.6585378746498,7.41850160956738,2.36050312331271e-10,2.31810172640601e-07,1.94688033012592e-07,""5465/6443/113622/1465/858/11149/7168/55909/4629/10611/148/5058/3192/9474/5239/1073/80206/9215/2318/57462/6546/1756/87/25802/274/51676/10398/596/23493/5997/5592/51804/4773/4089/11155/30008/1466/10529/3280/84033/4211/6444/287/983/4776/1909/1827/1291"",48"
"GO:0007409,""axonogenesis"",""84/1653"",""472/18860"",0.177966101694915,2.03051462671875,7.02750381155226,2.4320004123861e-10,2.31810172640601e-07,1.94688033012592e-07,""9706/5063/7414/2047/4131/23022/8609/673/8543/5747/1600/1272/9423/5058/55740/107/2044/8829/79633/7042/3730/288/1908/23111/8153/80031/11280/9037/2045/8851/9331/4882/91624/10512/25894/2676/115557/9241/4804/10090/2042/84189/9638/10752/596/4130/60/1952/4693/54413/5592/7473/9201/56978/10479/348/6285/4089/4915/2115/8828/10371/9378/4692/4744/885/284656/6585/153478/4137/2737/57216/4747/5781/2051/2263/5578/1909/4135/4753/151449/26050/7976/347733"",84"
"GO:0060537,""muscle tissue development"",""81/1653"",""453/18860"",0.178807947019868,2.04011971009964,6.94518948095787,4.04493511137943e-10,3.30471198599699e-07,2.77549457341719e-07,""5465/2047/6443/113622/1465/10362/3236/64091/858/11149/7168/4638/857/55909/4629/10611/148/55636/4534/5058/3192/9474/6840/5239/1073/93649/80206/7042/57158/3131/811/9215/57462/6546/4882/10512/1756/2247/9241/2260/51676/596/23493/5350/140628/5997/5592/8324/10052/51804/10413/84525/2138/6285/4089/30008/1466/2242/3764/50507/10529/6665/80000/4211/6444/983/2254/7049/7021/8854/650/406/3488/3235/6943/2263/1909/1827/8932/1291/55897"",81"
"GO:0051146,""striated muscle cell differentiation"",""62/1653"",""321/18860"",0.193146417445483,2.20371532548204,6.74180724713864,2.21255528176648e-09,1.58170045705281e-06,1.3284065461448e-06,""5465/6443/113622/1465/64091/858/11149/7168/55909/4629/10611/148/5058/3192/9474/5239/1073/93649/80206/811/9215/2318/57462/6546/1048/10938/25802/51177/51676/10398/596/23493/5997/2146/5592/8324/51804/84525/170689/4773/4089/168620/11155/1466/3764/50507/10529/11096/84033/9518/80000/4211/6444/983/650/3488/1827/30846/8912/55544/1291/55897"",62"
"GO:0030198,""extracellular matrix organization"",""63/1653"",""331/18860"",0.190332326283988,2.17160778809196,6.6652038091819,3.00547880176914e-09,1.90981480747974e-06,1.60397658157574e-06,""11107/55959/10491/285590/90102/84830/858/4811/857/169611/4629/85301/10630/56547/1805/3249/83716/7042/1288/9215/64093/8313/11095/2824/5340/5768/5212/1296/4921/283208/871/10549/25890/84168/4325/7078/170689/4089/3690/55624/30008/2294/10218/90993/11117/79625/3673/11096/302/133584/84627/4017/7049/56605/4319/650/3912/2192/1215/1291/1286/7124/11174"",63"
"GO:0043062,""extracellular structure organization"",""63/1653"",""332/18860"",0.189759036144578,2.16506680077843,6.63817619385627,3.39910033253401e-09,1.9439454801762e-06,1.63264155972133e-06,""11107/55959/10491/285590/90102/84830/858/4811/857/169611/4629/85301/10630/56547/1805/3249/83716/7042/1288/9215/64093/8313/11095/2824/5340/5768/5212/1296/4921/283208/871/10549/25890/84168/4325/7078/170689/4089/3690/55624/30008/2294/10218/90993/11117/79625/3673/11096/302/133584/84627/4017/7049/56605/4319/650/3912/2192/1215/1291/1286/7124/11174"",63"
