"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","59/824","233/9564",0.253218884120172,2.9390599608317,9.20047123867337,1.25753180666079e-14,4.31333409684652e-12,3.28281987423028e-12,"7414/6443/171024/1465/7168/4811/7169/4629/72/10611/85301/6711/1837/3696/288/1288/2318/3694/9672/23002/2273/1729/1756/4636/477/3678/25802/8572/1674/56776/10398/60/8082/9260/270/3680/4001/8910/3690/11155/1466/3673/10529/23345/7171/1292/84033/6444/3679/23500/287/2200/3672/6385/2192/1291/1286/6383/6442",59
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","32/824","105/9564",0.304761904761905,3.5373092926491,8.02694734758608,9.68967087131948e-11,1.66177855443129e-08,1.26475704004591e-08,"6443/7168/7169/107/1837/3696/7042/775/111/3694/6546/1756/3678/1674/60/5350/8082/7043/781/3680/8910/3690/776/3673/7171/6444/3679/153/3672/6442/7124/93589",32
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","30/824","99/9564",0.303030303030303,3.51721094439541,7.73004223650416,4.38162302942746e-10,5.0096556636454e-08,3.81278074139653e-08,"6443/7168/7169/1837/3696/7042/775/3694/6546/1756/3678/1674/5563/60/8082/7043/5565/781/3680/8910/3690/776/3673/7171/6444/3679/3672/6442/7124/93589",30
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","46/824","203/9564",0.226600985221675,2.63011143526711,7.20790672194853,6.41597297633146e-10,5.50169682720423e-08,4.18726657402685e-08,"5063/7414/55742/673/858/5906/4638/5747/857/9475/5058/4660/8395/3696/1288/5295/3694/2316/1729/87/4636/3371/3678/5579/56034/10398/596/60/894/4659/53358/5228/3680/3690/3909/3673/1292/3918/3679/29780/5578/3672/3912/4233/1291/1286",46
"Human Diseases","Substance dependence","hsa05034","Alcoholism","43/824","191/9564",0.225130890052356,2.61304834036497,6.91400557183918,2.89847243988975e-09,1.98835209376437e-07,1.51330771598454e-07,"8336/8339/8347/8357/8351/8360/3012/673/8367/8366/85236/8362/8365/8345/54145/8346/8342/8329/8363/801/8344/8331/3017/111/6571/9586/8337/2775/8343/8330/810/3013/92815/4129/10681/64764/53358/4915/10645/90993/6531/55766/2786",43
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","39/824","166/9564",0.234939759036145,2.72689788279331,6.89140776885533,4.44743231904446e-09,2.54244880905375e-07,1.93502318442636e-07,"4638/3708/148/9475/107/801/7225/152/493/775/111/3778/9586/6546/4882/4880/4775/477/291/3779/10398/810/10335/5350/5997/5592/64764/3667/4659/4773/90993/776/3764/2767/2982/8654/153/4776/1909",39
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","33/824","134/9564",0.246268656716418,2.85839008839299,6.6517880220097,2.02879128566959e-08,9.94107729978101e-07,7.56601862926405e-07,"673/800/4638/3708/4629/72/148/9475/107/4660/801/1908/775/111/3778/4882/4880/5579/3779/10398/810/10335/5592/4659/94274/776/59/2767/2982/5578/1909/5322/10267",33
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","42/824","204/9564",0.205882352941176,2.38963449457453,6.16002837589794,6.93600132718264e-08,2.97381056902956e-06,2.26332674887012e-06,"8321/673/3236/858/5747/3708/857/9475/5058/4660/7042/288/5295/355/2316/2247/3678/5579/2260/60/8322/8324/818/7473/7078/4659/3690/2719/2549/3673/816/117581/287/5781/5578/6385/6237/7855/4233/6383/7124/7976",42
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","38/824","184/9564",0.206521739130435,2.39705571971296,5.87524778524,2.69344404271782e-07,1.02650145183579e-05,7.81256283735694e-06,"5063/2047/7220/84552/5747/9423/9475/7223/5058/55740/2044/8829/1073/54434/7225/5295/80031/9037/2045/10512/4775/4636/2042/10398/818/4773/10371/2242/6585/816/5781/4776/2051/5578/6237/4233/151449/7976",38
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","23/824","86/9564",0.267441860465116,3.10414314743734,6.0182624499518,5.94129812997849e-07,2.03786525858262e-05,1.55099151182596e-05,"6443/1837/3696/775/3694/6546/1756/3678/1674/60/8082/781/3680/8910/3690/83439/776/3673/6444/3679/3672/6442/93589",23
