",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
224316_at,0.684497507696587,7.42501113730431,6.03668702341221,4.19838793954108e-06,0.147585554988984,3.87698504984532,NA
"203599_s_at,0.740894298150639,8.19836150745827,5.91207663974846,5.63119795407248e-06,0.147585554988984,3.63960075309016,""WBP4"""
213658_at,0.906326507940359,7.00517319383225,5.52031465601075,1.43233319302335e-05,0.147585554988984,2.87826784549137,NA
"220004_at,1.73823197837485,5.10629980713417,5.42268059870174,1.81163303316592e-05,0.147585554988984,2.68520755396093,""DDX43"""
"1555826_at,-1.02528710443787,6.7417573649882,-5.36925279339409,2.06087717603971e-05,0.147585554988984,2.57903804022449,""BIRC5"""
"215887_at,-0.615934922589633,7.49465019382295,-5.35082013914008,2.15471462399856e-05,0.147585554988984,2.54232601341821,""ZNF277"""
"217753_s_at,-0.738405352153006,11.3492294757837,-5.31742873251176,2.33588252701465e-05,0.147585554988984,2.4757138019408,""RPS26"""
"229222_at,1.30929403598937,6.76446823353608,5.30725804125106,2.39407622045662e-05,0.147585554988984,2.45539726427943,""ACSS3"""
"207528_s_at,-0.990722402290621,4.03133605083201,-5.26301267727626,2.66483359829171e-05,0.147585554988984,2.36686957356583,""SLC7A11"""
"204063_s_at,0.567228212667048,7.51574004294687,5.23186458178794,2.87386880664096e-05,0.147585554988984,2.30440815133996,""ULK2"""
